source,device_id,date,score,voted_features,iforest_score,label
fortigate,FG200ETK18905867,2025-10-20,1.6666666666666667,6,-0.07045223959816849,STRONG
fortigate,FG200ETK18905867,2025-10-21,2.0,1,-0.007909986877968067,STRONG
fortigate,FGT30E3U17006691,2025-10-17,0.0,0,0.0007728919556187486,NORMAL
fortigate,FGT30E3U17006691,2025-10-18,0.0,0,0.055075540957489566,NORMAL
fortigate,FGT30E3U17006691,2025-10-19,2.0,2,-0.014176550478059657,STRONG
fortigate,FGT30E3U17006691,2025-10-20,0.0,0,-0.011651843651967808,NORMAL
fortigate,FGT30E3U17006691,2025-10-21,0.0,0,0.017248907540188707,NORMAL
fortigate,FGT30E5620039354,2025-10-17,0.0,0,0.07214282428876134,NORMAL
fortigate,FGT30E5620039354,2025-10-18,0.0,0,0.06806201834791886,NORMAL
fortigate,FGT30E5620039354,2025-10-19,1.8,5,-0.07957887220708859,STRONG
fortigate,FGT30E5620039354,2025-10-20,1.0,2,0.054064549281724716,MEDIUM
fortigate,FGT30E5620039354,2025-10-21,1.0,3,0.0007660506587714444,MEDIUM
fortigate,FGT40FTK2109C8LL,2025-10-16,2.0,2,-0.0015004703153923549,STRONG
fortigate,FGT40FTK2109C8LL,2025-10-17,1.0,1,0.017008455826771962,MEDIUM
fortigate,FGT40FTK2109C8LL,2025-10-18,0.0,0,0.07128558933581153,NORMAL
fortigate,FGT40FTK2109C8LL,2025-10-19,0.0,0,0.08355837236830149,NORMAL
fortigate,FGT40FTK2109C8LL,2025-10-20,0.0,0,0.013554288036578377,NORMAL
fortigate,FGT40FTK2209A33N,2025-10-01,1.25,4,-0.0251279377636211,MEDIUM
fortigate,FGT40FTK2209A33N,2025-10-02,1.3333333333333333,3,0.009930794695071077,MEDIUM
fortigate,FGT40FTK2209A33N,2025-10-03,2.0,1,0.031231210690798594,STRONG
fortigate,FGT40FTK2209A33N,2025-10-04,1.5,4,-0.01588569675701923,STRONG
fortigate,FGT40FTK2209A33N,2025-10-05,2.0,3,-0.047458390920171234,STRONG
fortigate,FGT40FTK2209DDTF,2025-10-17,1.5,4,-0.013143984350726279,STRONG
fortigate,FGT40FTK2209DDTF,2025-10-18,2.0,2,-0.030572058900277144,STRONG
fortigate,FGT40FTK2209DDTF,2025-10-19,1.25,4,-0.038515335609913826,MEDIUM
fortigate,FGT40FTK2209DDTF,2025-10-20,0.0,0,-0.03362878439013006,NORMAL
fortigate,FGT40FTK2209DDTF,2025-10-21,2.0,2,0.024969954909360603,STRONG
fortigate,FGT40FTK2209F1Q7,2025-10-17,2.0,3,-0.10476643545022857,STRONG
fortigate,FGT40FTK2209F1Q7,2025-10-18,0.0,0,-0.03954431933517433,NORMAL
fortigate,FGT40FTK2209F1Q7,2025-10-19,1.0,1,-0.029895668848676227,MEDIUM
fortigate,FGT40FTK2209F1Q7,2025-10-20,0.0,0,-0.006786396142836271,NORMAL
fortigate,FGT40FTK2209F1Q7,2025-10-21,2.0,1,-0.042031544122974274,STRONG
fortigate,FGT60E4Q17030319,2025-10-17,1.0,1,0.0051567556101081435,MEDIUM
